method,postprocessed,milp_step_size,query_type,num_relations,graph_type,problem,baseline_cost,annealing_threshold,penalty_scaling,num_iterations,optimisation_time_in_ms,access_time_in_ms,cost,normalised_cost
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,4,846614843,n/a,n/a,n/a,0,n/a,846614843,1.0
milp,n/a,10,steinbrunn,18,CHAIN,4,846614843,n/a,n/a,n/a,1744,n/a,846622975,1.0000096053123415
annealing_quadratic,True,n/a,steinbrunn,18,CHAIN,4,846614843,0,2,1000000,215.0,456.0,846614843,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,5,44225145234,n/a,n/a,n/a,0,n/a,44225145234,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,5,44225145234,n/a,n/a,n/a,0,n/a,44225145234,1.0
milp,n/a,2,steinbrunn,18,CHAIN,5,44225145234,n/a,n/a,n/a,5643,n/a,45339278802,1.025192309988017
annealing_quadratic,True,n/a,steinbrunn,18,CHAIN,5,44225145234,0,2,1000000,215.0,459.0,86268287953,1.950661495774524
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,6,17521530030,n/a,n/a,n/a,0,n/a,17521530030,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,6,17521530030,n/a,n/a,n/a,0,n/a,17521530030,1.0
milp,n/a,10,steinbrunn,18,CHAIN,6,17521530030,n/a,n/a,n/a,2306,n/a,17521530030,1.0
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,6,17521530030,0,2,1000000,216.0,461.0,17521530030,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,7,1006204758,n/a,n/a,n/a,0,n/a,1121755695,1.114838392565025
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,7,1006204758,n/a,n/a,n/a,0,n/a,1121755695,1.114838392565025
milp,n/a,10,steinbrunn,18,CHAIN,7,1006204758,n/a,n/a,n/a,527,n/a,1006206288,1.0000015205652606
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,7,1006204758,0,2,1000000,216.0,452.0,1006204758,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,8,130564541,n/a,n/a,n/a,0,n/a,256098102,1.9614674860305295
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,8,130564541,n/a,n/a,n/a,0,n/a,256098102,1.9614674860305295
milp,n/a,2,steinbrunn,18,CHAIN,8,130564541,n/a,n/a,n/a,5648,n/a,130565476,1.0000071612092598
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,8,130564541,0,2,1000000,216.0,498.0,130564541,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,9,136313876,n/a,n/a,n/a,0,n/a,136313876,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,9,136313876,n/a,n/a,n/a,0,n/a,136313876,1.0
milp,n/a,2,steinbrunn,18,CHAIN,9,136313876,n/a,n/a,n/a,1513,n/a,136313876,1.0
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,9,136313876,0,2,1000000,216.0,457.0,136313876,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,0,22729447899,n/a,n/a,n/a,0,n/a,22729447899,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,0,22729447899,n/a,n/a,n/a,0,n/a,22729447899,1.0
milp,n/a,2,steinbrunn,22,CHAIN,0,22729447899,n/a,n/a,n/a,7673,n/a,22729580650,1.0000058404850214
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,0,22729447899,0,2,1000000,217.0,576.0,22729447899,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,1,91811535,n/a,n/a,n/a,0,n/a,91811535,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,1,91811535,n/a,n/a,n/a,0,n/a,91811535,1.0
milp,n/a,2,steinbrunn,22,CHAIN,1,91811535,n/a,n/a,n/a,10394,n/a,91818483,1.0000756767654522
annealing_quadratic,True,n/a,steinbrunn,22,CHAIN,1,91811535,0,2,1000000,216.0,542.0,91811535,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,2,42069115,n/a,n/a,n/a,0,n/a,42069115,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,2,42069115,n/a,n/a,n/a,0,n/a,42069115,1.0
milp,n/a,2,steinbrunn,22,CHAIN,2,42069115,n/a,n/a,n/a,10533,n/a,42069115,1.0
annealing_quadratic,True,n/a,steinbrunn,22,CHAIN,2,42069115,0,2,1000000,215.0,550.0,42069115,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,0,n/a,94014138175,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,0,n/a,94014138175,1.0
milp,n/a,2,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,7576,n/a,94014138175,1.0
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,3,94014138175,0,2,1000000,215.0,577.0,119220739097,1.2681150028209573
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,0,n/a,15018114334,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,0,n/a,15018114334,1.0
milp,n/a,10,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,18161,n/a,15028549408,1.0006948325047955
annealing_quadratic,True,n/a,steinbrunn,22,CHAIN,4,15018114334,0,2,1000000,217.0,568.0,15018114334,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,5,986833959,n/a,n/a,n/a,0,n/a,1363772133,1.3819671694131475
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,5,986833959,n/a,n/a,n/a,0,n/a,1363772133,1.3819671694131475
milp,n/a,2,steinbrunn,22,CHAIN,5,986833959,n/a,n/a,n/a,22857,n/a,986833959,1.0
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,5,986833959,2.55,2,1000000,216.0,585.0,986834539,1.000000587738185
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,6,308796307,n/a,n/a,n/a,0,n/a,777229634,2.5169654441495637
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,6,308796307,n/a,n/a,n/a,0,n/a,777229634,2.5169654441495637
milp,n/a,2,steinbrunn,22,CHAIN,6,308796307,n/a,n/a,n/a,4590,n/a,308806144,1.0000318559509198
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,6,308796307,0,2,1000000,215.0,545.0,308796307,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,7,1256040,n/a,n/a,n/a,0,n/a,1256040,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,7,1256040,n/a,n/a,n/a,0,n/a,1256040,1.0
milp,n/a,2,steinbrunn,22,CHAIN,7,1256040,n/a,n/a,n/a,2066,n/a,1256040,1.0
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,7,1256040,0,2,1000000,215.0,548.0,1256040,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,8,5658868,n/a,n/a,n/a,0,n/a,5903528,1.0432347953689678
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,8,5658868,n/a,n/a,n/a,0,n/a,5903528,1.0432347953689678
milp,n/a,2,steinbrunn,22,CHAIN,8,5658868,n/a,n/a,n/a,4692,n/a,5658868,1.0
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,8,5658868,0,2,1000000,218.0,549.0,5658868,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,9,19877274949,n/a,n/a,n/a,0,n/a,19877274949,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,9,19877274949,n/a,n/a,n/a,0,n/a,19877274949,1.0
milp,n/a,2,steinbrunn,22,CHAIN,9,19877274949,n/a,n/a,n/a,2970,n/a,19878456064,1.000059420368387
annealing_quadratic,True,n/a,steinbrunn,22,CHAIN,9,19877274949,5.11,2,1000000,245.0,707.0,19880771719,1.000175917977136
ikkbz,n/a,n/a,steinbrunn,26,CHAIN,0,1753229540,n/a,n/a,n/a,0,n/a,3592349282,2.0489897073032433
dpsizelinear,n/a,n/a,steinbrunn,26,CHAIN,0,1753229540,n/a,n/a,n/a,0,n/a,3592349282,2.0489897073032433
milp,n/a,2,steinbrunn,26,CHAIN,0,1753229540,n/a,n/a,n/a,13245,n/a,1753321199,1.0000522800910598
annealing_quadratic,False,n/a,steinbrunn,26,CHAIN,0,1753229540,0.63,2,1000000,245.0,790.0,1753229540,1.0
ikkbz,n/a,n/a,steinbrunn,26,CHAIN,1,4165861993547,n/a,n/a,n/a,0,n/a,4168281529597,1.0005808008171533
dpsizelinear,n/a,n/a,steinbrunn,26,CHAIN,1,4165861993547,n/a,n/a,n/a,0,n/a,4168281529597,1.0005808008171533
milp,n/a,2,steinbrunn,26,CHAIN,1,4165861993547,n/a,n/a,n/a,60182,n/a,4167395506033,1.0003681140874026
annealing_quadratic,False,n/a,steinbrunn,26,CHAIN,1,4165861993547,2.55,2,1000000,245.0,817.0,4165861993547,1.0
ikkbz,n/a,n/a,steinbrunn,26,CHAIN,2,2141867801,n/a,n/a,n/a,0,n/a,2141867801,1.0
dpsizelinear,n/a,n/a,steinbrunn,26,CHAIN,2,2141867801,n/a,n/a,n/a,0,n/a,2141867801,1.0
milp,n/a,2,steinbrunn,26,CHAIN,2,2141867801,n/a,n/a,n/a,7905,n/a,2408825795,1.1246379416485752
annealing_quadratic,True,n/a,steinbrunn,26,CHAIN,2,2141867801,0.63,2,1000000,252.0,836.0,2143066435,1.000559620906314
ikkbz,n/a,n/a,steinbrunn,26,CHAIN,3,13306518995993,n/a,n/a,n/a,0,n/a,13306518995993,1.0
dpsizelinear,n/a,n/a,steinbrunn,26,CHAIN,3,13306518995993,n/a,n/a,n/a,0,n/a,13306518995993,1.0
milp,n/a,100,steinbrunn,26,CHAIN,3,13306518995993,n/a,n/a,n/a,12431,n/a,22011667988132,1.6542018235393032
annealing_quadratic,True,n/a,steinbrunn,26,CHAIN,3,13306518995993,2.55,2,1000000,251.0,923.0,13306519000223,1.0000000003178893
ikkbz,n/a,n/a,steinbrunn,26,CHAIN,4,13861,n/a,n/a,n/a,0,n/a,13861,1.0
dpsizelinear,n/a,n/a,steinbrunn,26,CHAIN,4,13861,n/a,n/a,n/a,0,n/a,13861,1.0
milp,n/a,2,steinbrunn,26,CHAIN,4,13861,n/a,n/a,n/a,21126,n/a,13861,1.0
annealing_quadratic,True,n/a,steinbrunn,26,CHAIN,4,13861,0,2,1000000,246.0,780.0,13861,1.0
ikkbz,n/a,n/a,steinbrunn,26,CHAIN,5,6626641308,n/a,n/a,n/a,0,n/a,6626641308,1.0
dpsizelinear,n/a,n/a,steinbrunn,26,CHAIN,5,6626641308,n/a,n/a,n/a,0,n/a,6626641308,1.0
milp,n/a,2,steinbrunn,26,CHAIN,5,6626641308,n/a,n/a,n/a,58615,n/a,6626641308,1.0
annealing_quadratic,False,n/a,steinbrunn,26,CHAIN,5,6626641308,0.63,2,1000000,252.0,875.0,6626641308,1.0
ikkbz,n/a,n/a,steinbrunn,26,CHAIN,6,244852662162574,n/a,n/a,n/a,0,n/a,256870347850799,1.049081294775736
dpsizelinear,n/a,n/a,steinbrunn,26,CHAIN,6,244852662162574,n/a,n/a,n/a,0,n/a,256870347850799,1.049081294775736
milp,n/a,2,steinbrunn,26,CHAIN,6,244852662162574,n/a,n/a,n/a,60066,n/a,256893569838091,1.0491761354325086
annealing_quadratic,False,n/a,steinbrunn,26,CHAIN,6,244852662162574,0.63,2,1000000,246.0,887.0,244852662162574,1.0
ikkbz,n/a,n/a,steinbrunn,26,CHAIN,7,162530793,n/a,n/a,n/a,0,n/a,162530793,1.0
dpsizelinear,n/a,n/a,steinbrunn,26,CHAIN,7,162530793,n/a,n/a,n/a,0,n/a,162530793,1.0
milp,n/a,2,steinbrunn,26,CHAIN,7,162530793,n/a,n/a,n/a,60080,n/a,162530793,1.0
annealing_quadratic,True,n/a,steinbrunn,26,CHAIN,7,162530793,0,2,1000000,245.0,745.0,186697771,1.148691688226735
ikkbz,n/a,n/a,steinbrunn,26,CHAIN,8,1564677795,n/a,n/a,n/a,0,n/a,1573216482,1.0054571535604875
dpsizelinear,n/a,n/a,steinbrunn,26,CHAIN,8,1564677795,n/a,n/a,n/a,0,n/a,1573216482,1.0054571535604875
milp,n/a,2,steinbrunn,26,CHAIN,8,1564677795,n/a,n/a,n/a,52096,n/a,1564677795,1.0
annealing_quadratic,True,n/a,steinbrunn,26,CHAIN,8,1564677795,2.55,2,1000000,250.0,815.0,1573216482,1.0054571535604875
ikkbz,n/a,n/a,steinbrunn,26,CHAIN,9,82463092,n/a,n/a,n/a,0,n/a,82463092,1.0
dpsizelinear,n/a,n/a,steinbrunn,26,CHAIN,9,82463092,n/a,n/a,n/a,0,n/a,82463092,1.0
milp,n/a,2,steinbrunn,26,CHAIN,9,82463092,n/a,n/a,n/a,9096,n/a,82463165,1.0000008852445164
annealing_quadratic,False,n/a,steinbrunn,26,CHAIN,9,82463092,0,2,1000000,250.0,802.0,82463092,1.0
ikkbz,n/a,n/a,steinbrunn,30,CHAIN,0,7885094809671556,n/a,n/a,n/a,0,n/a,7885113516656710,1.000002372448982
dpsizelinear,n/a,n/a,steinbrunn,30,CHAIN,0,7885094809671556,n/a,n/a,n/a,0,n/a,7885113516656710,1.000002372448982
milp,n/a,100,steinbrunn,30,CHAIN,0,7885094809671556,n/a,n/a,n/a,60023,n/a,7900087954833922,1.0019014540121922
annealing_quadratic,False,n/a,steinbrunn,30,CHAIN,0,7885094809671556,2.55,2,1000000,245.0,1068.0,7885094809671556,1.0
ikkbz,n/a,n/a,steinbrunn,30,CHAIN,1,846145057216,n/a,n/a,n/a,0,n/a,1079357357039,1.2756173989721322
dpsizelinear,n/a,n/a,steinbrunn,30,CHAIN,1,846145057216,n/a,n/a,n/a,0,n/a,1079357357039,1.2756173989721322
milp,n/a,2,steinbrunn,30,CHAIN,1,846145057216,n/a,n/a,n/a,60020,n/a,846308952148,1.0001936960224518
annealing_quadratic,False,n/a,steinbrunn,30,CHAIN,1,846145057216,0,2,1000000,249.0,973.0,846145057216,1.0
ikkbz,n/a,n/a,steinbrunn,30,CHAIN,2,753773387,n/a,n/a,n/a,0,n/a,753773387,1.0
dpsizelinear,n/a,n/a,steinbrunn,30,CHAIN,2,753773387,n/a,n/a,n/a,0,n/a,753773387,1.0
milp,n/a,2,steinbrunn,30,CHAIN,2,753773387,n/a,n/a,n/a,60020,n/a,765696361,1.0158177168438556
annealing_quadratic,True,n/a,steinbrunn,30,CHAIN,2,753773387,0,2,1000000,247.0,958.0,754410177,1.0008448029752475
ikkbz,n/a,n/a,steinbrunn,30,CHAIN,3,6914467607566,n/a,n/a,n/a,0,n/a,6931038972127,1.002396621909526
dpsizelinear,n/a,n/a,steinbrunn,30,CHAIN,3,6914467607566,n/a,n/a,n/a,0,n/a,6931038972127,1.002396621909526
milp,n/a,2,steinbrunn,30,CHAIN,3,6914467607566,n/a,n/a,n/a,54048,n/a,7350482428169,1.063058335847275
annealing_quadratic,False,n/a,steinbrunn,30,CHAIN,3,6914467607566,2.55,2,1000000,245.0,1068.0,6914467607566,1.0
ikkbz,n/a,n/a,steinbrunn,30,CHAIN,4,315951565665,n/a,n/a,n/a,0,n/a,315951565665,1.0
dpsizelinear,n/a,n/a,steinbrunn,30,CHAIN,4,315951565665,n/a,n/a,n/a,0,n/a,315951565665,1.0
milp,n/a,100,steinbrunn,30,CHAIN,4,315951565665,n/a,n/a,n/a,60023,n/a,315964578237,1.0000411853379254
annealing_quadratic,True,n/a,steinbrunn,30,CHAIN,4,315951565665,0,2,1000000,246.0,980.0,315951565665,1.0
ikkbz,n/a,n/a,steinbrunn,30,CHAIN,5,1771830430,n/a,n/a,n/a,0,n/a,1771830430,1.0
dpsizelinear,n/a,n/a,steinbrunn,30,CHAIN,5,1771830430,n/a,n/a,n/a,0,n/a,1771830430,1.0
milp,n/a,2,steinbrunn,30,CHAIN,5,1771830430,n/a,n/a,n/a,60004,n/a,1771830430,1.0
annealing_quadratic,True,n/a,steinbrunn,30,CHAIN,5,1771830430,0,2,1000000,246.0,968.0,1771830430,1.0
ikkbz,n/a,n/a,steinbrunn,30,CHAIN,6,40615928773,n/a,n/a,n/a,0,n/a,40615928773,1.0
dpsizelinear,n/a,n/a,steinbrunn,30,CHAIN,6,40615928773,n/a,n/a,n/a,0,n/a,40615928773,1.0
milp,n/a,2,steinbrunn,30,CHAIN,6,40615928773,n/a,n/a,n/a,60044,n/a,44255218881,1.0896025332410784
annealing_quadratic,True,n/a,steinbrunn,30,CHAIN,6,40615928773,0,2,1000000,246.0,1004.0,40615928773,1.0
ikkbz,n/a,n/a,steinbrunn,30,CHAIN,7,36515956574136,n/a,n/a,n/a,0,n/a,244688892675666,6.700875880901267
dpsizelinear,n/a,n/a,steinbrunn,30,CHAIN,7,36515956574136,n/a,n/a,n/a,0,n/a,244688892675666,6.700875880901267
milp,n/a,10,steinbrunn,30,CHAIN,7,36515956574136,n/a,n/a,n/a,60385,n/a,40420277770231,1.1069209617491003
annealing_quadratic,False,n/a,steinbrunn,30,CHAIN,7,36515956574136,0,2,1000000,246.0,955.0,36515956574136,1.0
ikkbz,n/a,n/a,steinbrunn,30,CHAIN,8,24615755768358,n/a,n/a,n/a,0,n/a,24615755768358,1.0
dpsizelinear,n/a,n/a,steinbrunn,30,CHAIN,8,24615755768358,n/a,n/a,n/a,0,n/a,24615755768358,1.0
milp,n/a,10,steinbrunn,30,CHAIN,8,24615755768358,n/a,n/a,n/a,52912,n/a,94273221869638,3.8297918925089545
annealing_quadratic,True,n/a,steinbrunn,30,CHAIN,8,24615755768358,0.63,2,1000000,253.0,1039.0,24616256799177,1.0000203540701214
ikkbz,n/a,n/a,steinbrunn,30,CHAIN,9,62559405906141920,n/a,n/a,n/a,0,n/a,62559405906141920,1.0
dpsizelinear,n/a,n/a,steinbrunn,30,CHAIN,9,62559405906141920,n/a,n/a,n/a,0,n/a,62559405906141920,1.0
milp,n/a,100,steinbrunn,30,CHAIN,9,62559405906141920,n/a,n/a,n/a,60136,n/a,9372322898582142976,20
annealing_quadratic,True,n/a,steinbrunn,30,CHAIN,9,62559405906141920,0,2,1000000,246.0,1093.0,62561961922160224,1.0000408574215385
ikkbz,n/a,n/a,steinbrunn,34,CHAIN,0,14603378797197,n/a,n/a,n/a,0,n/a,56832182682936,3.891714614281215
dpsizelinear,n/a,n/a,steinbrunn,34,CHAIN,0,14603378797197,n/a,n/a,n/a,0,n/a,56832182682936,3.891714614281215
milp,n/a,100,steinbrunn,34,CHAIN,0,14603378797197,n/a,n/a,n/a,60024,n/a,86846000217586,5.946979902641119
annealing_quadratic,False,n/a,steinbrunn,34,CHAIN,0,14603378797197,2.55,2,1000000,403.0,1763.0,14603378797197,1.0
ikkbz,n/a,n/a,steinbrunn,34,CHAIN,1,114666941,n/a,n/a,n/a,0,n/a,114666941,1.0
dpsizelinear,n/a,n/a,steinbrunn,34,CHAIN,1,114666941,n/a,n/a,n/a,0,n/a,114666941,1.0
milp,n/a,10,steinbrunn,34,CHAIN,1,114666941,n/a,n/a,n/a,60021,n/a,281676815,2.45647797476345
annealing_quadratic,True,n/a,steinbrunn,34,CHAIN,1,114666941,0,2,1000000,375.0,1484.0,114719994,1.000462670404716
ikkbz,n/a,n/a,steinbrunn,34,CHAIN,2,300662323523835,n/a,n/a,n/a,0,n/a,1270296586504322,4.224994244759833
dpsizelinear,n/a,n/a,steinbrunn,34,CHAIN,2,300662323523835,n/a,n/a,n/a,0,n/a,1270296586504322,4.224994244759833
milp,n/a,2,steinbrunn,34,CHAIN,2,300662323523835,n/a,n/a,n/a,60079,n/a,300662323523835,1.0
annealing_quadratic,False,n/a,steinbrunn,34,CHAIN,2,300662323523835,5.11,2,1000000,374.0,1655.0,304109315841158,1.0114646633370068
ikkbz,n/a,n/a,steinbrunn,34,CHAIN,3,52926283015475,n/a,n/a,n/a,0,n/a,1010585838369236,19.09421521389955
dpsizelinear,n/a,n/a,steinbrunn,34,CHAIN,3,52926283015475,n/a,n/a,n/a,1,n/a,1010585838369236,19.09421521389955
milp,n/a,100,steinbrunn,34,CHAIN,3,52926283015475,n/a,n/a,n/a,60034,n/a,52926357393328,1.000001405310344
annealing_quadratic,False,n/a,steinbrunn,34,CHAIN,3,52926283015475,0.63,2,1000000,373.0,1832.0,52926283015475,1.0
ikkbz,n/a,n/a,steinbrunn,34,CHAIN,4,981571485169,n/a,n/a,n/a,0,n/a,981571485169,1.0
dpsizelinear,n/a,n/a,steinbrunn,34,CHAIN,4,981571485169,n/a,n/a,n/a,0,n/a,981571485169,1.0
milp,n/a,2,steinbrunn,34,CHAIN,4,981571485169,n/a,n/a,n/a,10461,n/a,988079795860,1.006630500976584
annealing_quadratic,True,n/a,steinbrunn,34,CHAIN,4,981571485169,5.11,2,1000000,376.0,1889.0,997297298052,1.0160210571727157
ikkbz,n/a,n/a,steinbrunn,34,CHAIN,5,87645094967823360,n/a,n/a,n/a,0,n/a,505932030024842496,5.772508207225771
dpsizelinear,n/a,n/a,steinbrunn,34,CHAIN,5,87645094967823360,n/a,n/a,n/a,0,n/a,505932030024842496,5.772508207225771
milp,n/a,100,steinbrunn,34,CHAIN,5,87645094967823360,n/a,n/a,n/a,60292,n/a,134469451084133648,1.5342495907329514
annealing_quadratic,False,n/a,steinbrunn,34,CHAIN,5,87645094967823360,5.11,2,1000000,373.0,1639.0,87645094967823360,1.0
ikkbz,n/a,n/a,steinbrunn,34,CHAIN,6,953801954,n/a,n/a,n/a,0,n/a,953801954,1.0
dpsizelinear,n/a,n/a,steinbrunn,34,CHAIN,6,953801954,n/a,n/a,n/a,0,n/a,953801954,1.0
milp,n/a,2,steinbrunn,34,CHAIN,6,953801954,n/a,n/a,n/a,60036,n/a,953801954,1.0
annealing_quadratic,True,n/a,steinbrunn,34,CHAIN,6,953801954,0.63,2,1000000,405.0,1695.0,953801954,1.0
ikkbz,n/a,n/a,steinbrunn,34,CHAIN,7,609778233518290560,n/a,n/a,n/a,0,n/a,609959170756499584,1.0002967262986169
dpsizelinear,n/a,n/a,steinbrunn,34,CHAIN,7,609778233518290560,n/a,n/a,n/a,0,n/a,609959170756499584,1.0002967262986169
milp,n/a,100,steinbrunn,34,CHAIN,7,609778233518290560,n/a,n/a,n/a,30364,n/a,31837727998982299648,20
annealing_quadratic,False,n/a,steinbrunn,34,CHAIN,7,609778233518290560,0,2,1000000,376.0,1497.0,609778233518290560,1.0
ikkbz,n/a,n/a,steinbrunn,34,CHAIN,8,2566470124481,n/a,n/a,n/a,0,n/a,2566470124481,1.0
dpsizelinear,n/a,n/a,steinbrunn,34,CHAIN,8,2566470124481,n/a,n/a,n/a,1,n/a,2566470124481,1.0
milp,n/a,100,steinbrunn,34,CHAIN,8,2566470124481,n/a,n/a,n/a,11000,n/a,19975186346064,7.783136127525914
annealing_quadratic,True,n/a,steinbrunn,34,CHAIN,8,2566470124481,5.11,2,1000000,374.0,1637.0,2566500750178,1.0000119330035084
ikkbz,n/a,n/a,steinbrunn,34,CHAIN,9,92043913167,n/a,n/a,n/a,0,n/a,113984349086,1.238369221430127
dpsizelinear,n/a,n/a,steinbrunn,34,CHAIN,9,92043913167,n/a,n/a,n/a,0,n/a,113984349086,1.238369221430127
milp,n/a,2,steinbrunn,34,CHAIN,9,92043913167,n/a,n/a,n/a,60026,n/a,114081534563,1.239425081330647
annealing_quadratic,False,n/a,steinbrunn,34,CHAIN,9,92043913167,2.55,2,1000000,371.0,1643.0,92043913167,1.0
ikkbz,n/a,n/a,steinbrunn,38,CHAIN,0,503670577232951,n/a,n/a,n/a,0,n/a,503670577232951,1.0
dpsizelinear,n/a,n/a,steinbrunn,38,CHAIN,0,503670577232951,n/a,n/a,n/a,1,n/a,503670577232951,1.0
milp,n/a,100,steinbrunn,38,CHAIN,0,503670577232951,n/a,n/a,n/a,60037,n/a,505343098960982,1.003320665934507
annealing_quadratic,True,n/a,steinbrunn,38,CHAIN,0,503670577232951,0,2,1000000,381.0,2049.0,503675496499522,1.00000976683331
ikkbz,n/a,n/a,steinbrunn,38,CHAIN,1,1981962851,n/a,n/a,n/a,0,n/a,1981962851,1.0
dpsizelinear,n/a,n/a,steinbrunn,38,CHAIN,1,1981962851,n/a,n/a,n/a,1,n/a,1981962851,1.0
milp,n/a,2,steinbrunn,38,CHAIN,1,1981962851,n/a,n/a,n/a,60136,n/a,1991452130,1.0047878188005452
annealing_quadratic,True,n/a,steinbrunn,38,CHAIN,1,1981962851,0,2,1000000,405.0,1959.0,1981962851,1.0
ikkbz,n/a,n/a,steinbrunn,38,CHAIN,2,8891676664062780,n/a,n/a,n/a,0,n/a,13521931398331520,1.5207403405684667
dpsizelinear,n/a,n/a,steinbrunn,38,CHAIN,2,8891676664062780,n/a,n/a,n/a,1,n/a,13521931398331520,1.5207403405684667
milp,n/a,100,steinbrunn,38,CHAIN,2,8891676664062780,n/a,n/a,n/a,60025,n/a,9156645794243828,1.029799681229072
annealing_quadratic,False,n/a,steinbrunn,38,CHAIN,2,8891676664062780,5.11,2,1000000,372.0,2129.0,8891676664062780,1.0
ikkbz,n/a,n/a,steinbrunn,38,CHAIN,3,351097052276033,n/a,n/a,n/a,1,n/a,354525969313219,1.0097662940060521
