method,postprocessed,milp_step_size,query_type,num_relations,graph_type,problem,baseline_cost,thres_config,penalty_scaling,num_iterations,optimisation_time_in_ms,cost,normalised_cost
milp,n/a,10,steinbrunn,18,CHAIN,6,17521530030,n/a,n/a,n/a,0,n/a,20
milp,n/a,10,steinbrunn,18,CHAIN,6,17521530030,n/a,n/a,n/a,51,7364481349573,20
milp,n/a,10,steinbrunn,18,CHAIN,6,17521530030,n/a,n/a,n/a,401,17521530030,1.0
milp,n/a,10,steinbrunn,18,CHAIN,6,17521530030,n/a,n/a,n/a,60000,17521530030,1.0
annealing_quadratic,1,n/a,steinbrunn,18,CHAIN,6,17521530030,thres_config_12,2,1000000,0,n/a,20
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,6,17521530030,thres_config_12,2,1000000,499.0163402557373,17521642608,1.0000064251238223
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,6,17521530030,thres_config_12,2,1000000,957.0170345306396,17521530030,1.0
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,6,17521530030,thres_config_12,2,1000000,60000,17521530030,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,7,1006204758,n/a,n/a,n/a,0,1121755695,1.114838392565025
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,7,1006204758,n/a,n/a,n/a,60000,1121755695,1.114838392565025
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,7,1006204758,n/a,n/a,n/a,0,1121755695,1.114838392565025
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,7,1006204758,n/a,n/a,n/a,60000,1121755695,1.114838392565025
milp,n/a,10,steinbrunn,18,CHAIN,7,1006204758,n/a,n/a,n/a,0,n/a,20
milp,n/a,10,steinbrunn,18,CHAIN,7,1006204758,n/a,n/a,n/a,51,16825443308,16.72168927271163
milp,n/a,10,steinbrunn,18,CHAIN,7,1006204758,n/a,n/a,n/a,104,10737866655,10.671651639118963
milp,n/a,10,steinbrunn,18,CHAIN,7,1006204758,n/a,n/a,n/a,151,10736462051,10.670255696604448
milp,n/a,10,steinbrunn,18,CHAIN,7,1006204758,n/a,n/a,n/a,204,1006206288,1.0000015205652606
milp,n/a,10,steinbrunn,18,CHAIN,7,1006204758,n/a,n/a,n/a,60000,1006206288,1.0000015205652606
annealing_quadratic,1,n/a,steinbrunn,18,CHAIN,7,1006204758,thres_config_12,2,1000000,0,n/a,20
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,7,1006204758,thres_config_12,2,1000000,461.0012550354004,1006204758,1.0
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,7,1006204758,thres_config_12,2,1000000,60000,1006204758,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,8,130564541,n/a,n/a,n/a,0,256098102,1.9614674860305295
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,8,130564541,n/a,n/a,n/a,60000,256098102,1.9614674860305295
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,8,130564541,n/a,n/a,n/a,0,256098102,1.9614674860305295
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,8,130564541,n/a,n/a,n/a,60000,256098102,1.9614674860305295
milp,n/a,2,steinbrunn,18,CHAIN,8,130564541,n/a,n/a,n/a,0,n/a,20
milp,n/a,2,steinbrunn,18,CHAIN,8,130564541,n/a,n/a,n/a,51,941305847,7.209506040388102
milp,n/a,2,steinbrunn,18,CHAIN,8,130564541,n/a,n/a,n/a,601,130589608,1.0001919893395865
milp,n/a,2,steinbrunn,18,CHAIN,8,130564541,n/a,n/a,n/a,802,130572477,1.0000607821996632
milp,n/a,2,steinbrunn,18,CHAIN,8,130564541,n/a,n/a,n/a,1005,130570744,1.000047509070629
milp,n/a,2,steinbrunn,18,CHAIN,8,130564541,n/a,n/a,n/a,2001,130565476,1.0000071612092598
milp,n/a,2,steinbrunn,18,CHAIN,8,130564541,n/a,n/a,n/a,60000,130565476,1.0000071612092598
annealing_quadratic,1,n/a,steinbrunn,18,CHAIN,8,130564541,thres_config_12,2,1000000,0,n/a,20
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,8,130564541,thres_config_12,2,1000000,542.0044403076172,130564541,1.0
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,8,130564541,thres_config_12,2,1000000,60000,130564541,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,9,136313876,n/a,n/a,n/a,0,136313876,1.0
ikkbz,n/a,n/a,steinbrunn,18,CHAIN,9,136313876,n/a,n/a,n/a,60000,136313876,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,9,136313876,n/a,n/a,n/a,0,136313876,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,CHAIN,9,136313876,n/a,n/a,n/a,60000,136313876,1.0
milp,n/a,100,steinbrunn,18,CHAIN,9,136313876,n/a,n/a,n/a,0,n/a,20
milp,n/a,100,steinbrunn,18,CHAIN,9,136313876,n/a,n/a,n/a,51,177225862,1.3001307511789921
milp,n/a,100,steinbrunn,18,CHAIN,9,136313876,n/a,n/a,n/a,203,140692791,1.032123765595221
milp,n/a,100,steinbrunn,18,CHAIN,9,136313876,n/a,n/a,n/a,473,136313876,1.0
milp,n/a,100,steinbrunn,18,CHAIN,9,136313876,n/a,n/a,n/a,60000,136313876,1.0
annealing_quadratic,1,n/a,steinbrunn,18,CHAIN,9,136313876,thres_config_12,2,1000000,0,n/a,20
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,9,136313876,thres_config_12,2,1000000,481.99890327453613,136313876,1.0
annealing_quadratic,False,n/a,steinbrunn,18,CHAIN,9,136313876,thres_config_12,2,1000000,60000,136313876,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,0,22729447899,n/a,n/a,n/a,0,22729447899,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,0,22729447899,n/a,n/a,n/a,60000,22729447899,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,0,22729447899,n/a,n/a,n/a,0,22729447899,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,0,22729447899,n/a,n/a,n/a,60000,22729447899,1.0
milp,n/a,10,steinbrunn,22,CHAIN,0,22729447899,n/a,n/a,n/a,0,n/a,20
milp,n/a,10,steinbrunn,22,CHAIN,0,22729447899,n/a,n/a,n/a,400,84378458530658,20
milp,n/a,10,steinbrunn,22,CHAIN,0,22729447899,n/a,n/a,n/a,603,10591339218292,20
milp,n/a,10,steinbrunn,22,CHAIN,0,22729447899,n/a,n/a,n/a,1009,4580666526379,20
milp,n/a,10,steinbrunn,22,CHAIN,0,22729447899,n/a,n/a,n/a,2007,26302057827,1.1571797935381078
milp,n/a,10,steinbrunn,22,CHAIN,0,22729447899,n/a,n/a,n/a,3549,22729580650,1.0000058404850214
milp,n/a,10,steinbrunn,22,CHAIN,0,22729447899,n/a,n/a,n/a,60000,22729580650,1.0000058404850214
annealing_quadratic,1,n/a,steinbrunn,22,CHAIN,0,22729447899,thres_config_12,2,1000000,0,n/a,20
annealing_quadratic,True,n/a,steinbrunn,22,CHAIN,0,22729447899,thres_config_12,2,1000000,598.0000667572021,22729449917,1.0000000887835028
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,0,22729447899,thres_config_12,2,1000000,1133.0018463134766,22729447899,1.0
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,0,22729447899,thres_config_12,2,1000000,60000,22729447899,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,1,91811535,n/a,n/a,n/a,0,91811535,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,1,91811535,n/a,n/a,n/a,60000,91811535,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,1,91811535,n/a,n/a,n/a,0,91811535,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,1,91811535,n/a,n/a,n/a,60000,91811535,1.0
milp,n/a,2,steinbrunn,22,CHAIN,1,91811535,n/a,n/a,n/a,0,n/a,20
milp,n/a,2,steinbrunn,22,CHAIN,1,91811535,n/a,n/a,n/a,406,8032249846,20
milp,n/a,2,steinbrunn,22,CHAIN,1,91811535,n/a,n/a,n/a,602,112645019,1.2269157573718814
milp,n/a,2,steinbrunn,22,CHAIN,1,91811535,n/a,n/a,n/a,1003,112416482,1.2244265603445144
milp,n/a,2,steinbrunn,22,CHAIN,1,91811535,n/a,n/a,n/a,4039,100533765,1.0950014614176748
milp,n/a,2,steinbrunn,22,CHAIN,1,91811535,n/a,n/a,n/a,8073,99048691,1.078826217206803
milp,n/a,2,steinbrunn,22,CHAIN,1,91811535,n/a,n/a,n/a,8826,91818483,1.0000756767654522
milp,n/a,2,steinbrunn,22,CHAIN,1,91811535,n/a,n/a,n/a,60000,91818483,1.0000756767654522
annealing_quadratic,1,n/a,steinbrunn,22,CHAIN,1,91811535,thres_config_12,2,1000000,0,n/a,20
annealing_quadratic,True,n/a,steinbrunn,22,CHAIN,1,91811535,thres_config_12,2,1000000,637.001220703125,91811535,1.0
annealing_quadratic,True,n/a,steinbrunn,22,CHAIN,1,91811535,thres_config_12,2,1000000,60000,91811535,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,2,42069115,n/a,n/a,n/a,0,42069115,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,2,42069115,n/a,n/a,n/a,60000,42069115,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,2,42069115,n/a,n/a,n/a,0,42069115,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,2,42069115,n/a,n/a,n/a,60000,42069115,1.0
milp,n/a,2,steinbrunn,22,CHAIN,2,42069115,n/a,n/a,n/a,0,n/a,20
milp,n/a,2,steinbrunn,22,CHAIN,2,42069115,n/a,n/a,n/a,51,413791922,9.836002540105728
milp,n/a,2,steinbrunn,22,CHAIN,2,42069115,n/a,n/a,n/a,616,42600110,1.012621967445714
milp,n/a,2,steinbrunn,22,CHAIN,2,42069115,n/a,n/a,n/a,6009,42069115,1.0
milp,n/a,2,steinbrunn,22,CHAIN,2,42069115,n/a,n/a,n/a,60000,42069115,1.0
annealing_quadratic,1,n/a,steinbrunn,22,CHAIN,2,42069115,thres_config_12,2,1000000,0,n/a,20
annealing_quadratic,True,n/a,steinbrunn,22,CHAIN,2,42069115,thres_config_12,2,1000000,573.000955581665,42069115,1.0
annealing_quadratic,True,n/a,steinbrunn,22,CHAIN,2,42069115,thres_config_12,2,1000000,60000,42069115,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,0,94014138175,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,60000,94014138175,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,0,94014138175,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,60000,94014138175,1.0
milp,n/a,2,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,0,n/a,20
milp,n/a,2,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,52,35379300850323,20
milp,n/a,2,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,402,33782910979366,20
milp,n/a,2,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,614,97990621055,1.0422966476871605
milp,n/a,2,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,1007,97974848402,1.0421288787397853
milp,n/a,2,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,2010,95933178924,1.020412256988708
milp,n/a,2,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,4006,95930247671,1.020381078135645
milp,n/a,2,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,6003,95929251081,1.0203704777087375
milp,n/a,2,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,7075,94014138175,1.0
milp,n/a,2,steinbrunn,22,CHAIN,3,94014138175,n/a,n/a,n/a,60000,94014138175,1.0
annealing_quadratic,1,n/a,steinbrunn,22,CHAIN,3,94014138175,thres_config_12,2,1000000,0,n/a,20
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,3,94014138175,thres_config_12,2,1000000,618.9875240325928,119506063841,1.2711499159684767
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,3,94014138175,thres_config_12,2,1000000,1154.015459060669,119253768868,1.2684663305216752
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,3,94014138175,thres_config_12,2,1000000,1760.0021514892578,119220739097,1.2681150028209573
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,3,94014138175,thres_config_12,2,1000000,60000,119220739097,1.2681150028209573
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,0,15018114334,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,60000,15018114334,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,0,15018114334,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,60000,15018114334,1.0
milp,n/a,10,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,0,n/a,20
milp,n/a,10,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,51,1953783995017,20
milp,n/a,10,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,2006,1953783834572,20
milp,n/a,10,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,6002,1212997637149,20
milp,n/a,10,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,8016,26616817249,1.7723141971786243
milp,n/a,10,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,10021,23574620901,1.5697457334992213
milp,n/a,10,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,20016,15132864747,1.0076408003327164
milp,n/a,10,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,20905,15028549408,1.0006948325047955
milp,n/a,10,steinbrunn,22,CHAIN,4,15018114334,n/a,n/a,n/a,60000,15028549408,1.0006948325047955
annealing_quadratic,1,n/a,steinbrunn,22,CHAIN,4,15018114334,thres_config_12,2,1000000,0,n/a,20
annealing_quadratic,True,n/a,steinbrunn,22,CHAIN,4,15018114334,thres_config_12,2,1000000,621.9998397827148,15018114674,1.0000000226393269
annealing_quadratic,True,n/a,steinbrunn,22,CHAIN,4,15018114334,thres_config_12,2,1000000,1180.0010414123535,15018114334,1.0
annealing_quadratic,True,n/a,steinbrunn,22,CHAIN,4,15018114334,thres_config_12,2,1000000,60000,15018114334,1.0
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,5,986833959,n/a,n/a,n/a,0,1363772133,1.3819671694131475
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,5,986833959,n/a,n/a,n/a,60000,1363772133,1.3819671694131475
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,5,986833959,n/a,n/a,n/a,0,1363772133,1.3819671694131475
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,5,986833959,n/a,n/a,n/a,60000,1363772133,1.3819671694131475
milp,n/a,2,steinbrunn,22,CHAIN,5,986833959,n/a,n/a,n/a,0,n/a,20
milp,n/a,2,steinbrunn,22,CHAIN,5,986833959,n/a,n/a,n/a,52,2612816996,2.647676412197728
milp,n/a,2,steinbrunn,22,CHAIN,5,986833959,n/a,n/a,n/a,2006,1586391899,1.6075570611772998
milp,n/a,2,steinbrunn,22,CHAIN,5,986833959,n/a,n/a,n/a,4111,1584361692,1.605499767767923
milp,n/a,2,steinbrunn,22,CHAIN,5,986833959,n/a,n/a,n/a,20014,986833959,1.0
milp,n/a,2,steinbrunn,22,CHAIN,5,986833959,n/a,n/a,n/a,60000,986833959,1.0
annealing_quadratic,1,n/a,steinbrunn,22,CHAIN,5,986833959,thres_config_5,2,1000000,0,n/a,20
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,5,986833959,thres_config_5,2,1000000,624.9886837005615,986839229,1.0000053403107503
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,5,986833959,thres_config_5,2,1000000,2401.001070022583,986834901,1.0000009545678799
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,5,986833959,thres_config_5,2,1000000,2988.9998989105225,986834539,1.000000587738185
annealing_quadratic,False,n/a,steinbrunn,22,CHAIN,5,986833959,thres_config_5,2,1000000,60000,986834539,1.000000587738185
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,6,308796307,n/a,n/a,n/a,0,777229634,2.5169654441495637
ikkbz,n/a,n/a,steinbrunn,22,CHAIN,6,308796307,n/a,n/a,n/a,60000,777229634,2.5169654441495637
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,6,308796307,n/a,n/a,n/a,0,777229634,2.5169654441495637
dpsizelinear,n/a,n/a,steinbrunn,22,CHAIN,6,308796307,n/a,n/a,n/a,60000,777229634,2.5169654441495637
milp,n/a,2,steinbrunn,22,CHAIN,6,308796307,n/a,n/a,n/a,0,n/a,20
milp,n/a,2,steinbrunn,22,CHAIN,6,308796307,n/a,n/a,n/a,50,703082675,2.2768493633571856
milp,n/a,2,steinbrunn,22,CHAIN,6,308796307,n/a,n/a,n/a,205,311407908,1.008457358267565
milp,n/a,2,steinbrunn,22,CHAIN,6,308796307,n/a,n/a,n/a,4005,308806144,1.0000318559509198
milp,n/a,2,steinbrunn,22,CHAIN,6,308796307,n/a,n/a,n/a,60000,308806144,1.0000318559509198
annealing_quadratic,1,n/a,steinbrunn,22,CHAIN,6,308796307,thres_config_12,2,1000000,0,n/a,20
