method,num_relations,graph_type,problem,baseline_cost,optimisation_time_in_ms,cost,normalised_cost
ikkbz,22,CHAIN,7,1256040.3538852625,0,1256040.3538852625,1.0000002817468094
milp,22,CHAIN,7,1256040.3538852625,619,1256040.3538852625,1.0000002817468094
minsel,22,CHAIN,7,1256040.3538852625,0,1362916.3349132938,1.085089913468754
simulated_annealing_quadratic,22,CHAIN,7,1256040.3538852625,15699.859619140625,1256040.3538852625,1.0000002817468094
digital_annealing_legacy,22,CHAIN,8,5658868.489745318,50787.29187965393,5903528.135750325,1.043234819357922
digital_annealing_quadratic,22,CHAIN,8,5658868.489745318,580.2638282775879,5658868.489745318,1.0000000865447503
dpsizelinear,22,CHAIN,8,5658868.489745318,0,5903528.135750325,1.043234819357922
genetic,22,CHAIN,8,5658868.489745318,606,18284747.670277048,3.2311670232062397
ikkbz,22,CHAIN,8,5658868.489745318,0,5903528.135750325,1.043234819357922
milp,22,CHAIN,8,5658868.489745318,51,5658868.489745318,1.0000000865447503
minsel,22,CHAIN,8,5658868.489745318,0,6597280.451146345,1.1658304189364983
simulated_annealing_quadratic,22,CHAIN,8,5658868.489745318,36878.156900405884,5658868.489745318,1.0000000865447503
digital_annealing_legacy,22,CHAIN,9,19877274949.7762,7530.758010864258,19943043601.869583,1.0033087358824753
digital_annealing_quadratic,22,CHAIN,9,19877274949.7762,3290.0,19880771719.505333,1.0001759180025585
dpsizelinear,22,CHAIN,9,19877274949.7762,0,19877274949.7762,1.0000000000390497
genetic,22,CHAIN,9,19877274949.7762,4237,19942213142.874916,1.0032669565642942
ikkbz,22,CHAIN,9,19877274949.7762,0,19877274949.7762,1.0000000000390497
milp,22,CHAIN,9,19877274949.7762,3044,19878456064.460915,1.0000594203915751
minsel,22,CHAIN,9,19877274949.7762,0,20427591098.97911,1.027685693908802
simulated_annealing_quadratic,22,CHAIN,9,19877274949.7762,32416.159629821777,19880913160.501358,1.0001830337161755
digital_annealing_legacy,26,CHAIN,0,1753229540.2434587,1120.2669277191162,3592402816.545558,2.0490202421216095
digital_annealing_quadratic,26,CHAIN,0,1753229540.2434587,4781.6593017578125,1753229540.2434587,1.000000000138863
dpsizelinear,26,CHAIN,0,1753229540.2434587,0,3592349282.0974197,2.048989707358809
genetic,26,CHAIN,0,1753229540.2434587,62,1753251462.8163462,1.0000125042476447
ikkbz,26,CHAIN,0,1753229540.2434587,0,3592349282.0974197,2.048989707358809
milp,26,CHAIN,0,1753229540.2434587,13081,1753321199.335884,1.0000522802826401
minsel,26,CHAIN,0,1753229540.2434587,0,3817743772.4391212,2.1775493084830875
simulated_annealing_quadratic,26,CHAIN,0,1753229540.2434587,56310.004234313965,1753254970.3439898,1.0000145048571278
digital_annealing_legacy,26,CHAIN,1,4165861046197.5913,4450.820598602295,4168281683022.737,1.0005810651864988
digital_annealing_quadratic,26,CHAIN,1,4165861046197.5913,4959.636920928955,4165861993547.235,1.0000002274080255
dpsizelinear,26,CHAIN,1,4165861046197.5913,0,4168281529597.2466,1.0005810283572603
genetic,26,CHAIN,1,4165861046197.5913,5071,4165861046197.5913,1.0000000000001419
ikkbz,26,CHAIN,1,4165861046197.5913,0,4168281529597.2466,1.0005810283572603
milp,26,CHAIN,1,4165861046197.5913,40109,4169290265369.8784,1.0008231717608558
minsel,26,CHAIN,1,4165861046197.5913,0,4168281680398.89,1.000581064556654
simulated_annealing_quadratic,26,CHAIN,1,4165861046197.5913,45271.09670639038,4165862644275.1323,1.000000383612923
digital_annealing_legacy,26,CHAIN,2,2141867801.377923,6465.647411346436,2142739371.9151871,1.0004069209662614
digital_annealing_quadratic,26,CHAIN,2,2141867801.377923,8084.564096450806,2143066435.4392896,1.0005596211114103
dpsizelinear,26,CHAIN,2,2141867801.377923,0,2141867801.377923,1.0000000001764455
genetic,26,CHAIN,2,2141867801.377923,8336,12550962741.201359,5.859821383626729
ikkbz,26,CHAIN,2,2141867801.377923,0,2141867801.377923,1.0000000001764455
milp,26,CHAIN,2,2141867801.377923,4006,2148626175.06062,1.0031553647043316
minsel,26,CHAIN,2,2141867801.377923,0,2411931910.8559895,1.1260881319238756
simulated_annealing_quadratic,26,CHAIN,2,2141867801.377923,44660.43043136597,2141867801.377923,1.0000000001764455
digital_annealing_legacy,26,CHAIN,3,13306518995993.055,971.8966960906982,13306518995993.055,1.0000000000000042
digital_annealing_quadratic,26,CHAIN,3,13306518995993.055,5121.513288497925,13306519000223.646,1.000000000317938
dpsizelinear,26,CHAIN,3,13306518995993.055,0,13306518995993.055,1.0000000000000042
genetic,26,CHAIN,3,13306518995993.055,16204,14771973128621.395,1.1101305407574804
ikkbz,26,CHAIN,3,13306518995993.055,0,13306518995993.055,1.0000000000000042
milp,26,CHAIN,3,13306518995993.055,10006,14967366637944.02,1.124814584674711
minsel,26,CHAIN,3,13306518995993.055,0,13713021294933.781,1.0305491089790795
simulated_annealing_quadratic,26,CHAIN,3,13306518995993.055,7766.0417556762695,13712501393357.953,1.0305100377857805
digital_annealing_legacy,26,CHAIN,4,13861.600406136238,2296.2577476501465,13861.600406136238,1.0000433162207805
digital_annealing_quadratic,26,CHAIN,4,13861.600406136238,830.9755611419678,13861.600406136238,1.0000433162207805
dpsizelinear,26,CHAIN,4,13861.600406136238,0,13861.600406136238,1.0000433162207805
genetic,26,CHAIN,4,13861.600406136238,9969,78553.67702991159,5.667244573256734
ikkbz,26,CHAIN,4,13861.600406136238,0,13861.600406136238,1.0000433162207805
milp,26,CHAIN,4,13861.600406136238,10051,13861.600406136238,1.0000433162207805
minsel,26,CHAIN,4,13861.600406136238,0,22658.518899199556,1.6346958299689458
simulated_annealing_quadratic,26,CHAIN,4,13861.600406136238,48912.888288497925,13861.600406136238,1.0000433162207805
digital_annealing_legacy,26,CHAIN,5,6626641308.557986,1246.8791027069092,6626641308.557986,1.0000000000842035
digital_annealing_quadratic,26,CHAIN,5,6626641308.557986,3277.6452655792236,6626641308.557986,1.0000000000842035
dpsizelinear,26,CHAIN,5,6626641308.557986,0,6626641308.557986,1.0000000000842035
genetic,26,CHAIN,5,6626641308.557986,6130,6626820449.189458,1.0000270334821415
ikkbz,26,CHAIN,5,6626641308.557986,0,6626641308.557986,1.0000000000842035
milp,26,CHAIN,5,6626641308.557986,10012,6626641308.557986,1.0000000000842035
minsel,26,CHAIN,5,6626641308.557986,0,14369893866.193016,2.1685033485734304
simulated_annealing_quadratic,26,CHAIN,5,6626641308.557986,6428.532600402832,6626641308.557986,1.0000000000842035
digital_annealing_legacy,26,CHAIN,6,244820529728991.4,5687.560043334961,256870347850799.12,1.049218985577504
digital_annealing_quadratic,26,CHAIN,6,244820529728991.4,2548.8274326324463,244852662162574.38,1.0001312489341434
dpsizelinear,26,CHAIN,6,244820529728991.4,0,256870347850799.12,1.049218985577504
genetic,26,CHAIN,6,244820529728991.4,15776,244820529728991.4,1.0000000000000016
ikkbz,26,CHAIN,6,244820529728991.4,0,256870347850799.12,1.049218985577504
milp,26,CHAIN,6,244820529728991.4,50067,256893569838091.38,1.0493138386820127
minsel,26,CHAIN,6,244820529728991.4,0,256870949970514.3,1.0492214450106074
simulated_annealing_quadratic,26,CHAIN,6,244820529728991.4,41392.574310302734,256870347850799.12,1.049218985577504
digital_annealing_legacy,26,CHAIN,7,162530793.69375584,2831.145742416382,162530793.69375584,1.0000000042684578
digital_annealing_quadratic,26,CHAIN,7,162530793.69375584,757.6283168792725,186697771.62747744,1.148691692087403
dpsizelinear,26,CHAIN,7,162530793.69375584,0,162530793.69375584,1.0000000042684578
genetic,26,CHAIN,7,162530793.69375584,48553,634605243.324955,3.9045231467304475
ikkbz,26,CHAIN,7,162530793.69375584,0,162530793.69375584,1.0000000042684578
milp,26,CHAIN,7,162530793.69375584,20014,162530793.69375584,1.0000000042684578
minsel,26,CHAIN,7,162530793.69375584,0,191847847.7237266,1.1803784635673722
simulated_annealing_quadratic,26,CHAIN,7,162530793.69375584,8613.042116165161,165570695.41418394,1.018703547543658
digital_annealing_legacy,26,CHAIN,8,1564677795.0878503,7823.648796081543,1573216482.478815,1.0054571538665027
digital_annealing_quadratic,26,CHAIN,8,1564677795.0878503,1663.2740802764893,1573216482.478815,1.0054571538665027
dpsizelinear,26,CHAIN,8,1564677795.0878503,0,1573216482.478815,1.0054571538665027
genetic,26,CHAIN,8,1564677795.0878503,23216,1976848806.1216087,1.2634222920774616
ikkbz,26,CHAIN,8,1564677795.0878503,0,1573216482.478815,1.0054571538665027
milp,26,CHAIN,8,1564677795.0878503,50025,1564677795.0878503,1.000000000056146
minsel,26,CHAIN,8,1564677795.0878503,0,1580970515.9582667,1.0104128281300666
simulated_annealing_quadratic,26,CHAIN,8,1564677795.0878503,22572.07179069519,1573216482.478815,1.0054571538665027
digital_annealing_legacy,26,CHAIN,9,82463092.0775507,1167.4701957702637,82480337.07850957,1.0002091248107647
digital_annealing_quadratic,26,CHAIN,9,82463092.0775507,3936.0,82463092.0775507,1.000000000940429
dpsizelinear,26,CHAIN,9,82463092.0775507,0,82463092.0775507,1.000000000940429
genetic,26,CHAIN,9,82463092.0775507,5672,82487744.45985402,1.000298951437014
ikkbz,26,CHAIN,9,82463092.0775507,0,82463092.0775507,1.000000000940429
milp,26,CHAIN,9,82463092.0775507,7279,82463165.51405044,1.0000008914782197
minsel,26,CHAIN,9,82463092.0775507,0,242022623.50050652,2.9349205520999204
simulated_annealing_quadratic,26,CHAIN,9,82463092.0775507,24241.057872772217,82463092.0775507,1.000000000940429
digital_annealing_legacy,30,CHAIN,0,7885090656851892.0,3068.373764038086,7885441426520590.0,1.0000444851789234
digital_annealing_quadratic,30,CHAIN,0,7885090656851892.0,4613.263973236084,7885094809671556.0,1.0000005266673326
dpsizelinear,30,CHAIN,0,7885090656851892.0,0,7885113516656710.0,1.000002899117564
genetic,30,CHAIN,0,7885090656851892.0,18475,7885090656851892.0,1.0
ikkbz,30,CHAIN,0,7885090656851892.0,0,7885113516656710.0,1.000002899117564
milp,30,CHAIN,0,7885090656851892.0,50031,7900087954833922.0,1.0019019816809587
minsel,30,CHAIN,0,7885090656851892.0,0,7889294677428820.0,1.0005331607155683
simulated_annealing_quadratic,30,CHAIN,0,7885090656851892.0,59386.4688873291,7885113586507326.0,1.0000029079761326
digital_annealing_legacy,30,CHAIN,1,846145057216.3247,2731.7726497650146,1079357445951.4747,1.275617504051603
digital_annealing_quadratic,30,CHAIN,1,846145057216.3247,10010.304452896118,846145057216.3247,1.0000000000003837
dpsizelinear,30,CHAIN,1,846145057216.3247,0,1079357357039.1296,1.2756173989722854
genetic,30,CHAIN,1,846145057216.3247,7669,849826049071.5332,1.0043503082883265
ikkbz,30,CHAIN,1,846145057216.3247,0,1079357357039.1296,1.2756173989722854
milp,30,CHAIN,1,846145057216.3247,40077,846308952148.7161,1.000193696023298
minsel,30,CHAIN,1,846145057216.3247,0,1089606566660.9832,1.2877302270677136
simulated_annealing_quadratic,30,CHAIN,1,846145057216.3247,35800.65155029297,925809639472.5901,1.0941500296872309
digital_annealing_legacy,30,CHAIN,2,753773387.8183233,10391.642120361328,758258196.8109916,1.005949811824534
digital_annealing_quadratic,30,CHAIN,2,753773387.8183233,5020.254623413086,754410177.2662361,1.0008448033284518
dpsizelinear,30,CHAIN,2,753773387.8183233,0,753773387.8183233,1.0000000010856356
genetic,30,CHAIN,2,753773387.8183233,3471,821087232.7782428,1.089302497195013
ikkbz,30,CHAIN,2,753773387.8183233,0,753773387.8183233,1.0000000010856356
milp,30,CHAIN,2,753773387.8183233,20041,765696361.6545415,1.0158177177122087
minsel,30,CHAIN,2,753773387.8183233,0,1127393142.518985,1.4956658883991416
simulated_annealing_quadratic,30,CHAIN,2,753773387.8183233,12991.698741912842,754395980.6485063,1.0008259692624386
digital_annealing_legacy,30,CHAIN,3,6914467607566.596,14498.794485092163,6931779425732.512,1.0025037094898772
digital_annealing_quadratic,30,CHAIN,3,6914467607566.596,3205.0,6914467607566.596,1.0000000000000862
dpsizelinear,30,CHAIN,3,6914467607566.596,0,6931038972127.762,1.002396621909636
genetic,30,CHAIN,3,6914467607566.596,23940,7058724221721.785,1.0208630110578485
ikkbz,30,CHAIN,3,6914467607566.596,0,6931038972127.762,1.002396621909636
milp,30,CHAIN,3,6914467607566.596,46797,7350482428169.756,1.0630583358473842
minsel,30,CHAIN,3,6914467607566.596,0,10898918150951.21,1.576248349045025
simulated_annealing_quadratic,30,CHAIN,3,6914467607566.596,14972.35655784607,6931779425732.512,1.0025037094898772
digital_annealing_legacy,30,CHAIN,4,315951565665.0949,13427.46170425415,315955466379.5123,1.0000123459255665
digital_annealing_quadratic,30,CHAIN,4,315951565665.0949,1095.9143447875977,315951565665.0949,1.0000000000003004
dpsizelinear,30,CHAIN,4,315951565665.0949,0,315951565665.0949,1.0000000000003004
genetic,30,CHAIN,4,315951565665.0949,35866,376164437345.2041,1.1905762725165514
ikkbz,30,CHAIN,4,315951565665.0949,0,315951565665.0949,1.0000000000003004
milp,30,CHAIN,4,315951565665.0949,40140,315964578237.2711,1.0000411853387836
minsel,30,CHAIN,4,315951565665.0949,0,335827448123.8246,1.062908004323355
simulated_annealing_quadratic,30,CHAIN,4,315951565665.0949,25824.476957321167,315951566420.2595,1.000000002390428
digital_annealing_legacy,30,CHAIN,5,1771830430.678677,3010.227252960205,1814901821.0136094,1.0243089802976288
digital_annealing_quadratic,30,CHAIN,5,1771830430.678677,2906.648365020752,1771830430.678677,1.0000000003830372
dpsizelinear,30,CHAIN,5,1771830430.678677,0,1771830430.678677,1.0000000003830372
genetic,30,CHAIN,5,1771830430.678677,7720,1772568349.7637768,1.0004164731293033
ikkbz,30,CHAIN,5,1771830430.678677,0,1771830430.678677,1.0000000003830372
milp,30,CHAIN,5,1771830430.678677,20029,1771830430.678677,1.0000000003830372
minsel,30,CHAIN,5,1771830430.678677,0,5739501666.962796,3.239306408662818
simulated_annealing_quadratic,30,CHAIN,5,1771830430.678677,18507.231950759888,1771831442.5556498,1.0000005714743536
digital_annealing_legacy,30,CHAIN,6,40615928773.99567,1550.5714626312256,40615928773.99567,1.0000000000245142
digital_annealing_quadratic,30,CHAIN,6,40615928773.99567,1006.0697116851807,40615928773.99567,1.0000000000245142
dpsizelinear,30,CHAIN,6,40615928773.99567,0,40615928773.99567,1.0000000000245142
genetic,30,CHAIN,6,40615928773.99567,13706,111365055353.83438,2.7419059151951695
ikkbz,30,CHAIN,6,40615928773.99567,0,40615928773.99567,1.0000000000245142
milp,30,CHAIN,6,40615928773.99567,51,42775184939.63236,1.0531627918371709
minsel,30,CHAIN,6,40615928773.99567,0,510229933438.79333,12.562311114204428
